source_video,time_step,frame,vehicle_count,density
traffic1,0,frame_00000.jpg,14,medium
traffic1,1,frame_00001.jpg,12,medium
traffic1,2,frame_00002.jpg,13,medium
traffic1,3,frame_00003.jpg,14,medium
traffic1,4,frame_00004.jpg,8,medium
traffic1,5,frame_00005.jpg,11,medium
traffic1,6,frame_00006.jpg,10,medium
traffic1,7,frame_00007.jpg,9,medium
traffic1,8,frame_00008.jpg,13,medium
traffic1,9,frame_00009.jpg,13,medium
traffic1,10,frame_00010.jpg,11,medium
traffic1,11,frame_00011.jpg,12,medium
traffic1,12,frame_00012.jpg,15,medium
traffic1,13,frame_00013.jpg,8,medium
traffic1,14,frame_00014.jpg,9,medium
traffic1,15,frame_00015.jpg,8,medium
traffic1,16,frame_00016.jpg,11,medium
traffic1,17,frame_00017.jpg,14,medium
traffic1,18,frame_00018.jpg,7,medium
traffic1,19,frame_00019.jpg,14,medium
traffic1,20,frame_00020.jpg,12,medium
traffic2,0,frame_00000.jpg,2,low
traffic2,1,frame_00001.jpg,8,medium
traffic2,2,frame_00002.jpg,3,low
traffic2,3,frame_00003.jpg,3,low
traffic2,4,frame_00004.jpg,6,medium
traffic2,5,frame_00005.jpg,7,medium
traffic2,6,frame_00006.jpg,10,medium
traffic2,7,frame_00007.jpg,10,medium
traffic2,8,frame_00008.jpg,7,medium
traffic2,9,frame_00009.jpg,7,medium
traffic2,10,frame_00010.jpg,6,medium
traffic2,11,frame_00011.jpg,5,low
traffic2,12,frame_00012.jpg,10,medium
traffic2,13,frame_00013.jpg,11,medium
traffic2,14,frame_00014.jpg,7,medium
traffic2,15,frame_00015.jpg,10,medium
traffic2,16,frame_00016.jpg,10,medium
traffic2,17,frame_00017.jpg,7,medium
traffic2,18,frame_00018.jpg,9,medium
traffic2,19,frame_00019.jpg,13,medium
traffic2,20,frame_00020.jpg,13,medium
traffic2,21,frame_00021.jpg,12,medium
traffic2,22,frame_00022.jpg,11,medium
traffic2,23,frame_00023.jpg,11,medium
traffic2,24,frame_00024.jpg,8,medium
traffic2,25,frame_00025.jpg,8,medium
traffic2,26,frame_00026.jpg,10,medium
traffic2,27,frame_00027.jpg,10,medium
traffic2,28,frame_00028.jpg,8,medium
traffic3,0,frame_00000.jpg,4,low
traffic3,1,frame_00001.jpg,3,low
traffic3,2,frame_00002.jpg,3,low
traffic3,3,frame_00003.jpg,6,medium
traffic3,4,frame_00004.jpg,5,low
traffic3,5,frame_00005.jpg,6,medium
traffic3,6,frame_00006.jpg,4,low
traffic3,7,frame_00007.jpg,6,medium
traffic3,8,frame_00008.jpg,4,low
traffic3,9,frame_00009.jpg,5,low
